,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 50, 'learning_rate_init': 0.001}",0.5950206584173208,0.8273446179832415,0.20018181818181818,0.9898594986528234,0.049939442665651146,0.02411102943591853,0.10770391000982722,0.008116345525796417
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.01}",0.6338514707372218,0.8420535279642506,0.2943636363636363,0.973339305110807,0.03535094377239007,0.010616800520074554,0.08638066817703335,0.016010279318991318
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.001}",0.569748446960257,0.8108018774042731,0.15226262626262627,0.9872342676578876,0.0565189878729961,0.029954644318377383,0.1216746495152533,0.010579152449923053
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.01}",0.6320136892062438,0.840644180437376,0.2925656565656566,0.9714617218468311,0.03241371306705577,0.011164300089802891,0.07748357317409493,0.01409770850337258
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.001}",0.6236502054499488,0.838374644194368,0.27056565656565656,0.9767347543342408,0.03443908640083007,0.011504826161132124,0.08302164176113486,0.01446374904323257
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 200, 'learning_rate_init': 0.01}",0.6219053558052275,0.8373347378281881,0.2667070707070707,0.9771036409033842,0.04630073735318974,0.024193019198766565,0.0970813456577888,0.007538272699866099
"{'activation': 'relu', 'batch_size': 200, 'hidden_layer_sizes': 200, 'learning_rate_init': 0.001}",0.5987055644398391,0.8279122676838788,0.2143030303030303,0.983108098576648,0.0413013921753492,0.020875553359036618,0.0864035845938717,0.005690727441016871
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 50, 'learning_rate_init': 0.01}",0.6593883115885684,0.8537460528416482,0.3488080808080808,0.9699685423690558,0.01604989956606932,0.005294644293309393,0.03771806440434024,0.006397514984167484
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 50, 'learning_rate_init': 0.001}",0.5869193986729287,0.8234739298034345,0.1821010101010101,0.9917377872448476,0.0498942617823194,0.02570550323011582,0.10559059686115689,0.0061320031149589786
"{'activation': 'relu', 'batch_size': 400, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.01}",0.633466943554235,0.8431103006816871,0.2924646464646464,0.9744692406438235,0.027720732306003328,0.011533215962813518,0.061312701977096665,0.009410289945201223
